Vendor NR,Invoice Value,startTimestamp,caseId,activityName,CompCode,Vendor,Material type,Cash (discount %),Current Date,Net Order Value Normalized,Cash (discount Days),Invoice Base Date,Invoice ID,Planned delivery time in days,Cash (discount Days) 2,Cash (discount %) 2,Prompt Payment
Vendor2,729.27,2022-07-28T09:23:50.000,0,Invoice Entry,356,Contoso Metal,Finished products,0.05,7/23/2022 12:00:00 AM,729.27,9,2022-08-27T00:00:00.000,1069,21,9,0.05,656.343
Vendor2,729.27,2022-07-28T17:59:05.000,0,Check Customer Payment,356,Contoso Metal,Finished products,0.05,7/23/2022 12:00:00 AM,729.27,9,2022-08-27T00:00:00.000,1069,21,9,0.05,656.343
Vendor2,729.27,2022-07-29T09:43:19.000,0,Credit Memo Entry,356,Contoso Metal,Finished products,0.05,7/23/2022 12:00:00 AM,729.27,9,2022-08-27T00:00:00.000,1069,21,9,0.05,656.343
Vendor2,729.27,2022-07-29T15:04:04.000,0,Refund Customer,356,Contoso Metal,Finished products,0.05,7/23/2022 12:00:00 AM,729.27,9,2022-08-27T00:00:00.000,1069,21,9,0.05,656.343
Vendor2,729.27,2022-08-01T09:49:00.000,0,Re-issuing the invoice,356,Contoso Metal,Finished products,0.05,7/23/2022 12:00:00 AM,729.27,9,2022-08-27T00:00:00.000,1069,21,9,0.05,656.343
Vendor2,2499.1,2022-07-21T09:43:01.000,1,Invoice Entry,356,Contoso Metal,Materials procured externally,0.05,7/11/2022 12:00:00 AM,2499.1,9,2022-08-20T00:00:00.000,1105,21,9,0.05,2249.19
Vendor2,2499.1,2022-07-21T12:05:24.000,1,Check Customer Payment,356,Contoso Metal,Materials procured externally,0.05,7/11/2022 12:00:00 AM,2499.1,9,2022-08-20T00:00:00.000,1105,21,9,0.05,2249.19
Vendor2,2499.1,2022-07-21T13:54:26.000,1,Credit Memo Entry,356,Contoso Metal,Materials procured externally,0.05,7/11/2022 12:00:00 AM,2499.1,9,2022-08-20T00:00:00.000,1105,21,9,0.05,2249.19
Vendor2,2499.1,2022-07-21T15:44:38.000,1,Refund Customer,356,Contoso Metal,Materials procured externally,0.05,7/11/2022 12:00:00 AM,2499.1,9,2022-08-20T00:00:00.000,1105,21,9,0.05,2249.19
Vendor2,2499.1,2022-07-21T17:51:44.000,1,Re-issuing the invoice,356,Contoso Metal,Materials procured externally,0.05,7/11/2022 12:00:00 AM,2499.1,9,2022-08-20T00:00:00.000,1105,21,9,0.05,2249.19
Vendor2,624.12,2022-07-19T10:03:03.000,2,Invoice Entry,356,Contoso Metal,Finished products,0.05,7/5/2022 12:00:00 AM,561.708,9,2022-08-18T00:00:00.000,1109,14,9,0.05,561.708
Vendor2,624.12,2022-07-20T09:12:49.000,2,Confirm Payment Received,356,Contoso Metal,Finished products,0.05,7/5/2022 12:00:00 AM,561.708,9,2022-08-18T00:00:00.000,1109,14,9,0.05,561.708
Vendor2,624.12,2022-07-20T14:47:47.000,2,Refund With Special Voucher,356,Contoso Metal,Finished products,0.05,7/5/2022 12:00:00 AM,561.708,9,2022-08-18T00:00:00.000,1109,14,9,0.05,561.708
Vendor2,624.12,2022-07-21T15:15:56.000,2,Complete the Customer Memo,356,Contoso Metal,Finished products,0.05,7/5/2022 12:00:00 AM,561.708,9,2022-08-18T00:00:00.000,1109,14,9,0.05,561.708
Vendor2,624.12,2022-07-22T09:35:21.000,2,Approve Invoice,356,Contoso Metal,Finished products,0.05,7/5/2022 12:00:00 AM,561.708,9,2022-08-18T00:00:00.000,1109,14,9,0.05,561.708
Vendor2,624.12,2022-07-22T17:05:44.000,2,Credit Memo Creation,356,Contoso Metal,Finished products,0.05,7/5/2022 12:00:00 AM,561.708,9,2022-08-18T00:00:00.000,1109,14,9,0.05,561.708
Vendor2,624.12,2022-07-25T09:44:07.000,2,Fill Credit Memo,356,Contoso Metal,Finished products,0.05,7/5/2022 12:00:00 AM,561.708,9,2022-08-18T00:00:00.000,1109,14,9,0.05,561.708
Vendor2,624.12,2022-07-25T15:59:49.000,2,Re-issuing the invoice,356,Contoso Metal,Finished products,0.05,7/5/2022 12:00:00 AM,561.708,9,2022-08-18T00:00:00.000,1109,14,9,0.05,561.708
Vendor3,3960.7,2022-08-22T09:12:15.000,3,Invoice Entry,356,Northwind,Trading goods,0.05,8/12/2022 12:00:00 AM,3960.7,9,2022-09-21T00:00:00.000,1002,7,9,0.05,3564.63
Vendor3,3960.7,2022-08-22T10:42:50.000,3,Confirm Payment Received,356,Northwind,Trading goods,0.05,8/12/2022 12:00:00 AM,3960.7,9,2022-09-21T00:00:00.000,1002,7,9,0.05,3564.63
Vendor3,3960.7,2022-08-22T12:11:44.000,3,Refund With Standard Voucher,356,Northwind,Trading goods,0.05,8/12/2022 12:00:00 AM,3960.7,9,2022-09-21T00:00:00.000,1002,7,9,0.05,3564.63
Vendor3,3960.7,2022-08-22T13:36:21.000,3,Complete the Customer Memo,356,Northwind,Trading goods,0.05,8/12/2022 12:00:00 AM,3960.7,9,2022-09-21T00:00:00.000,1002,7,9,0.05,3564.63
Vendor3,3960.7,2022-08-23T09:17:14.000,3,Reject Invoice,356,Northwind,Trading goods,0.05,8/12/2022 12:00:00 AM,3960.7,9,2022-09-21T00:00:00.000,1002,7,9,0.05,3564.63
Vendor3,3960.7,2022-08-23T12:35:54.000,3,Refund With Standard Voucher,356,Northwind,Trading goods,0.05,8/12/2022 12:00:00 AM,3960.7,9,2022-09-21T00:00:00.000,1002,7,9,0.05,3564.63
Vendor3,3960.7,2022-08-23T13:48:59.000,3,Complete the Customer Memo,356,Northwind,Trading goods,0.05,8/12/2022 12:00:00 AM,3960.7,9,2022-09-21T00:00:00.000,1002,7,9,0.05,3564.63
Vendor3,3960.7,2022-08-23T17:03:09.000,3,Reject Invoice,356,Northwind,Trading goods,0.05,8/12/2022 12:00:00 AM,3960.7,9,2022-09-21T00:00:00.000,1002,7,9,0.05,3564.63
Vendor3,3960.7,2022-08-24T09:21:17.000,3,Refund With Standard Voucher,356,Northwind,Trading goods,0.05,8/12/2022 12:00:00 AM,3960.7,9,2022-09-21T00:00:00.000,1002,7,9,0.05,3564.63
Vendor3,3960.7,2022-08-24T10:36:27.000,3,Complete the Customer Memo,356,Northwind,Trading goods,0.05,8/12/2022 12:00:00 AM,3960.7,9,2022-09-21T00:00:00.000,1002,7,9,0.05,3564.63
Vendor3,3960.7,2022-08-24T14:05:48.000,3,Reject Invoice,356,Northwind,Trading goods,0.05,8/12/2022 12:00:00 AM,3960.7,9,2022-09-21T00:00:00.000,1002,7,9,0.05,3564.63
Vendor3,3960.7,2022-08-25T09:20:57.000,3,Refund With Standard Voucher,356,Northwind,Trading goods,0.05,8/12/2022 12:00:00 AM,3960.7,9,2022-09-21T00:00:00.000,1002,7,9,0.05,3564.63
Vendor3,3960.7,2022-08-25T10:54:55.000,3,Complete the Customer Memo,356,Northwind,Trading goods,0.05,8/12/2022 12:00:00 AM,3960.7,9,2022-09-21T00:00:00.000,1002,7,9,0.05,3564.63
Vendor3,3960.7,2022-08-25T15:15:26.000,3,Approve Invoice,356,Northwind,Trading goods,0.05,8/12/2022 12:00:00 AM,3960.7,9,2022-09-21T00:00:00.000,1002,7,9,0.05,3564.63
Vendor3,3960.7,2022-08-26T09:55:44.000,3,Credit Memo Creation,356,Northwind,Trading goods,0.05,8/12/2022 12:00:00 AM,3960.7,9,2022-09-21T00:00:00.000,1002,7,9,0.05,3564.63
Vendor3,3960.7,2022-08-26T11:05:23.000,3,Fill Credit Memo,356,Northwind,Trading goods,0.05,8/12/2022 12:00:00 AM,3960.7,9,2022-09-21T00:00:00.000,1002,7,9,0.05,3564.63
Vendor3,3960.7,2022-08-26T12:44:03.000,3,Re-issuing the invoice,356,Northwind,Trading goods,0.05,8/12/2022 12:00:00 AM,3960.7,9,2022-09-21T00:00:00.000,1002,7,9,0.05,3564.63
Vendor1,1034.24,2022-08-24T09:18:34.000,4,Invoice Entry,356,AdventureWorks Holding,Finished products,0.1,8/16/2022 12:00:00 AM,1034.24,4.5,2022-09-08T00:00:00.000,1116,14,4.5,0.1,930.816
Vendor1,1034.24,2022-08-24T11:54:04.000,4,Confirm Payment Received,356,AdventureWorks Holding,Finished products,0.1,8/16/2022 12:00:00 AM,1034.24,4.5,2022-09-08T00:00:00.000,1116,14,4.5,0.1,930.816
Vendor1,1034.24,2022-08-24T13:19:34.000,4,Refund With Standard Voucher,356,AdventureWorks Holding,Finished products,0.1,8/16/2022 12:00:00 AM,1034.24,4.5,2022-09-08T00:00:00.000,1116,14,4.5,0.1,930.816
Vendor1,1034.24,2022-08-24T14:30:43.000,4,Complete the Customer Memo,356,AdventureWorks Holding,Finished products,0.1,8/16/2022 12:00:00 AM,1034.24,4.5,2022-09-08T00:00:00.000,1116,14,4.5,0.1,930.816
Vendor1,1034.24,2022-08-24T16:37:18.000,4,Approve Invoice,356,AdventureWorks Holding,Finished products,0.1,8/16/2022 12:00:00 AM,1034.24,4.5,2022-09-08T00:00:00.000,1116,14,4.5,0.1,930.816
