order_id,product_id,quantity,price_per_unit
1,9,1,907
1,153,3,242
1,136,3,879
1,151,1,225
1,40,2,775
2,99,3,350
3,126,2,903
3,176,3,82
3,133,3,676
4,97,3,198
4,45,3,119
4,139,1,379
4,155,2,892
5,56,2,175
5,96,3,545
5,22,2,261
6,194,3,243
6,74,2,144
6,73,3,943
6,102,2,432
7,111,2,958
7,103,1,222
7,90,3,707
7,138,1,220
8,2,2,884
9,143,3,198
10,43,3,286
10,151,1,534
10,132,1,367
10,129,1,147
11,77,2,680
12,195,3,599
12,48,2,910
13,193,3,667
13,186,3,220
13,150,2,957
13,184,3,791
14,41,3,899
14,151,2,254
14,56,3,374
14,54,3,757
14,163,1,498
15,131,3,98
15,125,3,814
15,61,2,233
15,173,2,176
16,50,1,559
16,108,1,166
16,31,1,936
16,149,1,498
16,13,1,77
17,57,1,830
17,131,3,70
17,50,2,383
17,186,3,884
17,112,3,362
18,200,1,846
18,170,1,548
19,87,1,923
19,196,3,367
20,198,3,514
20,27,3,600
20,42,2,443
20,62,2,788
21,17,2,616
21,129,3,108
21,77,3,676
22,126,2,280
22,14,2,272
22,193,3,82
22,66,3,399
22,80,3,275
23,177,3,443
23,161,1,527
24,200,1,575
24,62,3,186
24,188,2,70
25,55,3,380
25,90,2,386
25,156,1,1000
25,58,2,425
26,128,2,214
26,97,2,425
26,46,1,378
26,129,1,847
27,64,3,890
28,16,2,344
29,148,1,375
29,112,1,173
29,138,3,579
29,174,1,765
30,139,1,215
31,177,1,128
31,19,3,760
32,93,1,776
32,79,1,282
32,184,1,733
32,36,1,716
33,70,1,459
33,179,1,973
33,135,2,773
34,132,3,188
35,168,3,845
35,134,2,160
35,155,3,654
36,58,1,652
37,76,1,311
37,99,1,512
37,47,2,101
37,9,2,957
38,69,3,599
38,87,1,226
38,20,1,99
38,194,1,695
39,180,2,96
40,138,1,182
40,126,1,389
40,8,2,960
41,37,1,472
41,81,1,837
41,102,2,870
41,89,1,706
41,12,3,130
42,164,3,83
42,126,3,378
42,99,3,570
42,159,3,931
42,186,1,405
43,187,1,320
43,178,3,439
43,180,1,634
44,199,2,736
44,190,2,805
44,95,2,655
44,116,1,232
45,151,3,210
45,137,1,446
45,124,1,901
45,139,2,816
46,109,3,537
46,37,3,126
46,57,1,246
46,145,3,511
47,8,1,808
47,172,2,577
47,183,2,120
47,39,1,943
47,41,3,762
48,127,1,265
48,192,3,810
48,64,1,887
48,142,2,54
49,56,1,921
49,175,2,330
49,138,2,274
49,43,3,593
49,60,3,287
50,90,2,243
50,88,2,218
50,125,3,540
50,180,2,737
51,18,1,256
51,107,2,560
51,31,2,848
52,44,1,838
52,146,3,153
52,14,2,353
52,184,1,129
52,51,2,613
53,150,2,558
53,128,1,733
53,35,1,683
53,167,2,484
54,49,3,313
54,130,2,466
54,31,1,666
54,130,1,875
54,90,1,778
55,157,2,446
55,164,1,988
55,112,3,637
55,182,1,59
56,65,3,678
56,103,3,925
56,93,2,550
56,61,3,285
57,32,1,355
57,129,2,934
57,140,2,334
58,87,3,653
58,128,3,236
58,75,1,97
58,187,1,126
58,75,3,377
59,155,3,776
59,175,1,928
60,140,1,96
60,34,2,146
61,108,2,624
61,141,2,409
61,33,3,600
62,137,3,356
62,111,2,840
62,24,2,834
63,118,2,728
63,133,2,576
63,199,3,424
64,21,2,352
64,173,2,416
64,3,2,685
64,146,1,165
65,7,1,988
65,182,3,259
65,120,2,708
66,76,2,807
66,100,1,968
67,152,1,716
67,157,2,879
67,18,1,499
67,72,2,388
67,111,3,638
68,51,3,338
68,15,1,242
68,151,1,768
69,28,1,369
70,173,1,289
70,110,2,338
70,170,3,897
71,95,1,931
71,171,3,706
71,3,3,254
72,20,1,373
73,13,2,660
73,89,2,373
74,114,3,761
75,56,2,629
75,2,1,337
75,139,1,312
75,194,2,505
76,199,3,193
76,46,3,498
77,147,3,695
77,157,1,330
77,20,2,817
77,10,3,356
78,40,2,385
78,56,1,260
78,127,1,258
78,60,2,456
78,52,1,361
79,185,2,525
79,148,1,976
79,192,2,339
79,121,3,966
79,40,1,406
80,139,3,463
80,122,3,183
80,90,3,732
81,61,2,951
82,138,2,375
82,22,2,549
82,121,2,189
82,178,3,266
83,151,2,741
83,7,3,550
83,117,2,454
83,31,3,991
83,62,3,355
84,60,1,198
84,84,1,202
84,13,2,438
84,135,1,85
85,21,1,422
85,36,1,273
85,116,2,825
85,33,2,128
86,171,3,419
87,163,1,822
87,155,3,590
88,111,3,792
88,116,3,760
89,151,3,718
90,47,2,283
90,165,1,303
90,119,2,407
90,143,3,170
91,110,3,142
91,67,1,286
92,8,2,873
92,104,2,77
92,70,1,742
92,98,1,860
92,4,3,315
93,77,2,645
94,195,3,305
95,88,2,947
96,128,1,911
96,71,3,473
96,195,3,892
97,161,3,868
97,196,1,239
97,49,3,516
97,116,1,332
98,172,1,801
98,6,1,623
98,175,3,605
98,14,1,578
99,146,1,443
99,104,2,653
99,34,1,227
100,157,3,639
100,81,1,318
100,199,2,361
100,27,3,333
100,149,1,448
101,179,1,106
101,20,3,641
101,185,1,342
101,82,3,872
102,95,2,925
102,127,1,394
102,152,1,50
103,176,1,127
103,115,1,280
104,74,1,308
105,59,1,823
105,158,2,462
105,68,1,613
105,6,2,233
106,2,1,557
106,48,2,891
107,49,3,957
107,186,3,502
107,115,2,985
107,145,3,636
108,177,3,830
108,199,2,747
108,117,1,781
109,94,1,921
109,52,1,631
109,99,3,863
109,12,2,999
109,32,3,621
110,108,1,682
110,116,3,644
110,189,1,115
110,27,2,780
110,170,1,939
