order_id,product_id,quantity,price_per_unit,order_item_id,order_id_order_item_id
1,9,1,907,1,11
1,40,2,775,2,12
1,136,3,879,3,13
1,151,1,225,4,14
1,153,3,242,5,15
2,99,3,350,1,21
3,126,2,903,1,31
3,133,3,676,2,32
3,176,3,82,3,33
4,45,3,119,1,41
4,97,3,198,2,42
4,139,1,379,3,43
4,155,2,892,4,44
5,22,2,261,1,51
5,56,2,175,2,52
5,96,3,545,3,53
6,73,3,943,1,61
6,74,2,144,2,62
6,102,2,432,3,63
6,194,3,243,4,64
7,90,3,707,1,71
7,103,1,222,2,72
7,111,2,958,3,73
7,138,1,220,4,74
8,2,2,884,1,81
9,143,3,198,1,91
10,43,3,286,1,101
10,129,1,147,2,102
10,132,1,367,3,103
10,151,1,534,4,104
11,77,2,680,1,111
12,48,2,910,1,121
12,195,3,599,2,122
13,150,2,957,1,131
13,184,3,791,2,132
13,186,3,220,3,133
13,193,3,667,4,134
14,41,3,899,1,141
14,54,3,757,2,142
14,56,3,374,3,143
14,151,2,254,4,144
14,163,1,498,5,145
15,61,2,233,1,151
15,125,3,814,2,152
15,131,3,98,3,153
15,173,2,176,4,154
16,13,1,77,1,161
16,31,1,936,2,162
16,50,1,559,3,163
16,108,1,166,4,164
16,149,1,498,5,165
17,50,2,383,1,171
17,57,1,830,2,172
17,112,3,362,3,173
17,131,3,70,4,174
17,186,3,884,5,175
18,170,1,548,1,181
18,200,1,846,2,182
19,87,1,923,1,191
19,196,3,367,2,192
20,27,3,600,1,201
20,42,2,443,2,202
20,62,2,788,3,203
20,198,3,514,4,204
21,17,2,616,1,211
21,77,3,676,2,212
21,129,3,108,3,213
22,14,2,272,1,221
22,66,3,399,2,222
22,80,3,275,3,223
22,126,2,280,4,224
22,193,3,82,5,225
23,161,1,527,1,231
23,177,3,443,2,232
24,62,3,186,1,241
24,188,2,70,2,242
24,200,1,575,3,243
25,55,3,380,1,251
25,58,2,425,2,252
25,90,2,386,3,253
25,156,1,1000,4,254
26,46,1,378,1,261
26,97,2,425,2,262
26,128,2,214,3,263
26,129,1,847,4,264
27,64,3,890,1,271
28,16,2,344,1,281
29,112,1,173,1,291
29,138,3,579,2,292
29,148,1,375,3,293
29,174,1,765,4,294
30,139,1,215,1,301
31,19,3,760,1,311
31,177,1,128,2,312
32,36,1,716,1,321
32,79,1,282,2,322
32,93,1,776,3,323
32,184,1,733,4,324
33,70,1,459,1,331
33,135,2,773,2,332
33,179,1,973,3,333
34,132,3,188,1,341
35,134,2,160,1,351
35,155,3,654,2,352
35,168,3,845,3,353
36,58,1,652,1,361
37,9,2,957,1,371
37,47,2,101,2,372
37,76,1,311,3,373
37,99,1,512,4,374
38,20,1,99,1,381
38,69,3,599,2,382
38,87,1,226,3,383
38,194,1,695,4,384
39,180,2,96,1,391
40,8,2,960,1,401
40,126,1,389,2,402
40,138,1,182,3,403
41,12,3,130,1,411
41,37,1,472,2,412
41,81,1,837,3,413
41,89,1,706,4,414
41,102,2,870,5,415
42,99,3,570,1,421
42,126,3,378,2,422
42,159,3,931,3,423
42,164,3,83,4,424
42,186,1,405,5,425
43,178,3,439,1,431
43,180,1,634,2,432
43,187,1,320,3,433
44,95,2,655,1,441
44,116,1,232,2,442
44,190,2,805,3,443
44,199,2,736,4,444
45,124,1,901,1,451
45,137,1,446,2,452
45,139,2,816,3,453
45,151,3,210,4,454
46,37,3,126,1,461
46,57,1,246,2,462
46,109,3,537,3,463
46,145,3,511,4,464
47,8,1,808,1,471
47,39,1,943,2,472
47,41,3,762,3,473
47,172,2,577,4,474
47,183,2,120,5,475
48,64,1,887,1,481
48,127,1,265,2,482
48,142,2,54,3,483
48,192,3,810,4,484
49,43,3,593,1,491
49,56,1,921,2,492
49,60,3,287,3,493
49,138,2,274,4,494
49,175,2,330,5,495
50,88,2,218,1,501
50,90,2,243,2,502
50,125,3,540,3,503
50,180,2,737,4,504
51,18,1,256,1,511
51,31,2,848,2,512
51,107,2,560,3,513
52,14,2,353,1,521
52,44,1,838,2,522
52,51,2,613,3,523
52,146,3,153,4,524
52,184,1,129,5,525
53,35,1,683,1,531
53,128,1,733,2,532
53,150,2,558,3,533
53,167,2,484,4,534
54,31,1,666,1,541
54,49,3,313,2,542
54,90,1,778,3,543
54,130,2,466,4,544
54,130,1,875,5,545
55,112,3,637,1,551
55,157,2,446,2,552
55,164,1,988,3,553
55,182,1,59,4,554
56,61,3,285,1,561
56,65,3,678,2,562
56,93,2,550,3,563
56,103,3,925,4,564
57,32,1,355,1,571
57,129,2,934,2,572
57,140,2,334,3,573
58,75,1,97,1,581
58,75,3,377,2,582
58,87,3,653,3,583
58,128,3,236,4,584
58,187,1,126,5,585
59,155,3,776,1,591
59,175,1,928,2,592
60,34,2,146,1,601
60,140,1,96,2,602
61,33,3,600,1,611
61,108,2,624,2,612
61,141,2,409,3,613
62,24,2,834,1,621
62,111,2,840,2,622
62,137,3,356,3,623
63,118,2,728,1,631
63,133,2,576,2,632
63,199,3,424,3,633
64,3,2,685,1,641
64,21,2,352,2,642
64,146,1,165,3,643
64,173,2,416,4,644
65,7,1,988,1,651
65,120,2,708,2,652
65,182,3,259,3,653
66,76,2,807,1,661
66,100,1,968,2,662
67,18,1,499,1,671
67,72,2,388,2,672
67,111,3,638,3,673
67,152,1,716,4,674
67,157,2,879,5,675
68,15,1,242,1,681
68,51,3,338,2,682
68,151,1,768,3,683
69,28,1,369,1,691
70,110,2,338,1,701
70,170,3,897,2,702
70,173,1,289,3,703
71,3,3,254,1,711
71,95,1,931,2,712
71,171,3,706,3,713
72,20,1,373,1,721
73,13,2,660,1,731
73,89,2,373,2,732
74,114,3,761,1,741
75,2,1,337,1,751
75,56,2,629,2,752
75,139,1,312,3,753
75,194,2,505,4,754
76,46,3,498,1,761
76,199,3,193,2,762
77,10,3,356,1,771
77,20,2,817,2,772
77,147,3,695,3,773
77,157,1,330,4,774
78,40,2,385,1,781
78,52,1,361,2,782
78,56,1,260,3,783
78,60,2,456,4,784
78,127,1,258,5,785
79,40,1,406,1,791
79,121,3,966,2,792
79,148,1,976,3,793
79,185,2,525,4,794
79,192,2,339,5,795
80,90,3,732,1,801
80,122,3,183,2,802
80,139,3,463,3,803
81,61,2,951,1,811
82,22,2,549,1,821
82,121,2,189,2,822
82,138,2,375,3,823
82,178,3,266,4,824
83,7,3,550,1,831
83,31,3,991,2,832
83,62,3,355,3,833
83,117,2,454,4,834
83,151,2,741,5,835
84,13,2,438,1,841
84,60,1,198,2,842
84,84,1,202,3,843
84,135,1,85,4,844
85,21,1,422,1,851
85,33,2,128,2,852
85,36,1,273,3,853
85,116,2,825,4,854
86,171,3,419,1,861
87,155,3,590,1,871
87,163,1,822,2,872
88,111,3,792,1,881
88,116,3,760,2,882
89,151,3,718,1,891
90,47,2,283,1,901
90,119,2,407,2,902
90,143,3,170,3,903
90,165,1,303,4,904
91,67,1,286,1,911
91,110,3,142,2,912
92,4,3,315,1,921
92,8,2,873,2,922
92,70,1,742,3,923
92,98,1,860,4,924
92,104,2,77,5,925
93,77,2,645,1,931
94,195,3,305,1,941
95,88,2,947,1,951
96,71,3,473,1,961
96,128,1,911,2,962
96,195,3,892,3,963
97,49,3,516,1,971
97,116,1,332,2,972
97,161,3,868,3,973
97,196,1,239,4,974
98,6,1,623,1,981
98,14,1,578,2,982
98,172,1,801,3,983
98,175,3,605,4,984
99,34,1,227,1,991
99,104,2,653,2,992
99,146,1,443,3,993
100,27,3,333,1,1001
100,81,1,318,2,1002
100,149,1,448,3,1003
100,157,3,639,4,1004
100,199,2,361,5,1005
101,20,3,641,1,1011
101,82,3,872,2,1012
101,179,1,106,3,1013
101,185,1,342,4,1014
102,95,2,925,1,1021
102,127,1,394,2,1022
102,152,1,50,3,1023
103,115,1,280,1,1031
