order_id,customer_id,order_date,total_amount
1,327,2024-07-23,6045
2,450,2025-01-05,1050
3,98,2024-06-13,4080
4,478,2024-07-30,3114
5,313,2025-01-09,2507
6,256,2024-09-12,4710
7,479,2024-03-25,4479
8,473,2024-10-24,1768
9,203,2025-01-02,594
10,185,2024-05-30,1906
11,409,2024-02-01,1360
12,91,2024-06-30,3617
13,401,2024-06-25,6948
14,435,2024-08-23,7096
15,153,2024-09-05,3554
16,48,2024-07-27,2236
17,375,2024-08-25,5544
18,477,2024-04-01,1394
19,9,2024-05-04,2024
20,104,2024-06-01,5804
21,110,2024-05-05,3584
22,30,2024-09-11,3372
23,450,2024-03-19,1856
24,18,2024-08-31,1273
25,55,2024-08-14,3762
26,69,2024-05-27,2503
27,79,2024-06-11,2670
28,370,2024-04-05,688
29,445,2024-10-20,3050
30,302,2024-06-26,215
31,46,2024-09-15,2408
32,159,2024-05-30,2507
33,140,2024-08-02,2978
34,332,2024-04-24,564
35,401,2024-09-30,4817
36,392,2024-07-01,652
37,396,2024-09-01,2939
38,250,2024-10-05,2817
39,371,2024-01-17,192
40,76,2025-01-03,2491
41,157,2024-11-08,4145
42,473,2024-08-10,6291
43,19,2024-03-19,2271
44,292,2025-01-13,4624
45,80,2024-08-17,3609
46,368,2024-11-06,3768
47,399,2024-09-12,5431
48,355,2025-01-08,3690
49,248,2024-06-29,4769
50,425,2024-08-21,4016
51,260,2024-05-28,3072
52,158,2024-09-07,3358
53,20,2024-11-30,3500
54,469,2024-08-26,4190
55,482,2024-09-05,3850
56,257,2024-11-15,6764
57,296,2024-07-14,2891
58,428,2024-03-28,4021
59,496,2024-09-22,3256
60,494,2024-05-27,388
61,399,2024-05-07,3866
62,119,2024-09-03,4416
63,187,2024-06-14,3880
64,290,2024-09-13,3071
65,117,2024-02-09,3181
66,155,2024-06-19,2582
67,476,2024-08-21,5663
68,374,2024-02-04,2024
69,127,2024-04-21,369
70,213,2024-09-28,3656
71,388,2024-06-16,3811
72,42,2024-03-07,373
73,492,2024-12-19,2066
74,29,2024-05-19,2283
75,172,2024-06-16,2917
76,195,2024-03-23,2073
77,365,2024-03-21,5117
78,7,2024-05-20,2561
79,171,2024-07-10,6008
80,322,2024-01-29,4134
81,122,2024-04-26,1902
82,225,2024-09-02,3024
83,273,2024-10-22,8078
84,352,2024-12-25,1361
