Object,Object ID,Timestamp,User
Delivery document,Delivery - 0001,10/05/2023 13:36,USER - 03676
Sales document,Order - 0001,10/05/2023 13:38,USER - 03676
Freight order,FREIGHT - 00001,10/05/2023 13:54,USER - 03676
Delivery document,Delivery - 0001,10/05/2023 15:33,USER - 07760
Freight order,FREIGHT - 00003,15/05/2023 11:04,USER - 03676
Delivery document,Delivery - 0002,15/05/2023 15:52,USER - 10709
Freight order,FREIGHT - 00005,25/05/2023 11:58,USER - 03676
Delivery document,Delivery - 0003,25/05/2023 13:14,USER - 10699
Freight order,FREIGHT - 00007,25/05/2023 13:14,USER - 03676
Freight order,FREIGHT - 00009,25/05/2023 13:32,USER - 03676
Delivery document,Delivery - 0004,25/05/2023 15:17,USER - 07543
Delivery document,Delivery - 0005,25/05/2023 15:45,USER - 07543
Invoice,Invoice - 008,31/05/2023 13:28,USER - 04201
Sales document,Order - 0027,31/05/2023 14:50,USER - 04201
Sales document,Order - 0028,31/05/2023 14:51,USER - 04201
Invoice,Invoice - 009,01/06/2023 07:24,USER - 04201
Invoice,Invoice - 011,05/06/2023 08:30,USER - 04201
Freight order,FREIGHT - 00022,05/06/2023 14:59,USER - 03676
Freight order,FREIGHT - 00022,05/06/2023 16:00,USER - 03640
Delivery document,Delivery - 0014,06/06/2023 11:48,USER - 03676
Freight order,FREIGHT - 00028,12/06/2023 14:37,USER - 03676
Freight order,FREIGHT - 00023,12/06/2023 15:41,USER - 10696
Delivery document,Delivery - 0015,13/06/2023 13:59,USER - 03676
Delivery document,Delivery - 0029,21/06/2023 09:38,USER - 03676
Freight order,FREIGHT - 00038,21/06/2023 09:45,USER - 03676
Delivery document,Delivery - 0030,21/06/2023 12:52,USER - 03676
Delivery document,Delivery - 0031,21/06/2023 15:08,USER - 03676
Freight order,FREIGHT - 00041,21/06/2023 15:10,USER - 03676
Delivery document,Delivery - 0020,22/06/2023 11:41,USER - 03676
Delivery document,Delivery - 0020,23/06/2023 07:47,USER - 07543
Delivery document,Delivery - 0037,27/06/2023 15:55,USER - 03676
Freight order,FREIGHT - 00048,27/06/2023 15:57,USER - 03676
Delivery document,Delivery - 0040,28/06/2023 15:27,USER - 03676
Freight order,FREIGHT - 00052,28/06/2023 15:28,USER - 03676
Delivery document,Delivery - 0041,28/06/2023 16:05,USER - 03676
Freight order,FREIGHT - 00054,28/06/2023 16:19,USER - 03676
Delivery document,Delivery - 0052,06/07/2023 15:53,USER - 03676
Freight order,FREIGHT - 00066,06/07/2023 15:54,USER - 03676
Freight order,FREIGHT - 00073,07/07/2023 13:09,USER - 03676
Delivery document,Delivery - 0058,12/07/2023 08:48,USER - 07543
Freight order,FREIGHT - 00079,14/07/2023 10:56,USER - 03676
Delivery document,Delivery - 0064,14/07/2023 11:57,USER - 03676
Freight order,FREIGHT - 00081,14/07/2023 11:58,USER - 03676
Delivery document,Delivery - 0065,14/07/2023 12:57,USER - 10696
Freight order,FREIGHT - 00083,14/07/2023 12:59,USER - 10696
Delivery document,Delivery - 0063,14/07/2023 16:59,USER - 05695
Freight order,FREIGHT - 00088,21/07/2023 10:46,USER - 03676
