Delivery ID,Created date,Created time,Order ID,User,Loading date,Customer
Delivery - 0001,10/05/2023,12:51:52,Order - 0001,USER - 05732,20230510,CUST - 001
Delivery - 0002,15/05/2023,10:52:48,Order - 0002,USER - 03676,20230515,CUST - 002
Delivery - 0003,25/05/2023,11:55:14,Order - 0012,USER - 03676,20230525,CUST - 005
Delivery - 0004,25/05/2023,13:10:12,Order - 0016,USER - 03676,20230525,CUST - 002
Delivery - 0005,25/05/2023,13:30:01,Order - 0015,USER - 03676,20230525,CUST - 001
Delivery - 0006,25/05/2023,15:09:09,Order - 0003,,20230525,CUST - 003
Delivery - 0007,25/05/2023,15:40:05,Order - 0005,,20230525,CUST - 003
Delivery - 0008,25/05/2023,16:49:23,Order - 0004,,20230525,CUST - 003
Delivery - 0009,31/05/2023,13:20:54,Order - 0025,USER - 03676,20230531,CUST - 011
Delivery - 0010,31/05/2023,13:39:51,Order - 0026,USER - 03676,20230531,CUST - 011
Delivery - 0011,02/06/2023,11:47:29,Order - 0031,USER - 03676,20230602,CUST - 011
Delivery - 0012,02/06/2023,13:21:26,Order - 0032,USER - 03676,20230602,CUST - 011
Delivery - 0013,05/06/2023,12:06:47,Order - 0033,USER - 03676,20230605,CUST - 011
Delivery - 0014,05/06/2023,14:42:36,Order - 0018,USER - 03676,20230605,CUST - 005
Delivery - 0015,06/06/2023,10:55:48,Order - 0034,USER - 03676,20230612,CUST - 007
Delivery - 0016,06/06/2023,13:05:34,Order - 0035,USER - 03676,20230606,CUST - 011
Delivery - 0017,07/06/2023,08:44:41,Order - 0039,USER - 03676,20230607,CUST - 011
Delivery - 0018,07/06/2023,08:56:20,Order - 0040,USER - 03676,20230607,CUST - 011
Delivery - 0019,09/06/2023,09:44:15,Order - 0045,USER - 03676,20230609,CUST - 011
Delivery - 0020,12/06/2023,14:35:21,Order - 0015,USER - 03676,20230612,CUST - 001
Delivery - 0021,12/06/2023,15:48:21,Order - 0047,USER - 03676,20230612,CUST - 011
Delivery - 0022,13/06/2023,13:26:58,Order - 0050,USER - 03676,20230613,CUST - 011
Delivery - 0023,13/06/2023,13:47:32,Order - 0051,USER - 03676,20230613,CUST - 011
Delivery - 0024,13/06/2023,13:55:00,Order - 0052,USER - 03676,20230613,CUST - 011
Delivery - 0025,15/06/2023,10:21:39,Order - 0053,USER - 03676,20230615,CUST - 011
Delivery - 0026,15/06/2023,10:28:08,Order - 0054,USER - 03676,20230615,CUST - 011
Delivery - 0027,20/06/2023,13:05:51,Order - 0059,USER - 03676,20230620,CUST - 011
Delivery - 0028,20/06/2023,13:13:25,Order - 0060,USER - 03676,20230620,CUST - 011
Delivery - 0029,21/06/2023,09:28:52,Order - 0015,USER - 03676,20230621,CUST - 001
Delivery - 0030,21/06/2023,10:52:40,Order - 0018,USER - 03676,20230621,CUST - 005
Delivery - 0031,21/06/2023,14:54:29,Order - 0041,USER - 03676,20230621,CUST - 005
Delivery - 0032,22/06/2023,13:13:58,Order - 0061,USER - 03676,20230622,CUST - 011
Delivery - 0033,22/06/2023,13:23:30,Order - 0062,USER - 03676,20230622,CUST - 011
Delivery - 0034,23/06/2023,09:38:54,Order - 0063,USER - 03676,20230623,CUST - 011
Delivery - 0035,26/06/2023,15:38:32,Order - 0067,USER - 03676,20230626,CUST - 011
Delivery - 0036,27/06/2023,14:12:58,Order - 0069,USER - 03676,20230627,CUST - 011
Delivery - 0037,27/06/2023,15:22:15,Order - 0041,USER - 03676,20230627,CUST - 005
Delivery - 0038,27/06/2023,16:22:26,Order - 0071,USER - 03676,20230627,CUST - 011
Delivery - 0039,28/06/2023,13:28:42,Order - 0072,USER - 03676,20230628,CUST - 011
Delivery - 0040,28/06/2023,15:16:32,Order - 0041,USER - 03676,20230628,CUST - 005
Delivery - 0041,28/06/2023,15:54:49,Order - 0041,USER - 03676,20230628,CUST - 005
Delivery - 0042,29/06/2023,11:04:55,Order - 0074,USER - 03676,20230629,CUST - 011
Delivery - 0043,29/06/2023,11:08:40,Order - 0075,USER - 03676,20230629,CUST - 011
Delivery - 0044,29/06/2023,11:12:40,Order - 0076,USER - 03676,20230629,CUST - 011
Delivery - 0045,30/06/2023,12:35:35,Order - 0081,USER - 03676,20230630,CUST - 011
Delivery - 0046,03/07/2023,15:23:48,Order - 0084,USER - 03676,20230703,CUST - 011
Delivery - 0047,03/07/2023,15:28:13,Order - 0085,USER - 03676,20230703,CUST - 011
Delivery - 0048,04/07/2023,11:10:32,Order - 0077,USER - 05724,20230704,CUST - 013
Delivery - 0049,04/07/2023,11:59:44,Order - 0086,USER - 03676,20230704,CUST - 011
Delivery - 0050,04/07/2023,12:02:38,Order - 0087,USER - 03676,20230704,CUST - 011
Delivery - 0051,04/07/2023,12:34:15,Order - 0088,USER - 03676,20230704,CUST - 011
Delivery - 0052,06/07/2023,15:21:00,Order - 0041,USER - 05724,20230706,CUST - 005
Delivery - 0053,06/07/2023,15:57:37,Order - 0092,USER - 03676,20230706,CUST - 011
Delivery - 0054,06/07/2023,16:05:53,Order - 0093,USER - 03676,20230706,CUST - 011
