Freight Order ID,Created at,Creation time,Order ID,Created by
FREIGHT - 00001,10/05/2023,12:53:43,Order - 0001,USER - 05732
FREIGHT - 00002,10/05/2023,13:54:44,Order - 0001,USER - 03676
FREIGHT - 00003,15/05/2023,10:53:32,Order - 0002,USER - 03676
FREIGHT - 00004,15/05/2023,11:04:12,Order - 0002,USER - 03676
FREIGHT - 00005,25/05/2023,11:56:20,Order - 0012,USER - 03676
FREIGHT - 00006,25/05/2023,11:58:00,Order - 0012,USER - 03676
FREIGHT - 00007,25/05/2023,13:12:56,Order - 0016,USER - 03676
FREIGHT - 00008,25/05/2023,13:14:16,Order - 0016,USER - 03676
FREIGHT - 00009,25/05/2023,13:32:02,Order - 0015,USER - 03676
FREIGHT - 00010,25/05/2023,13:32:46,Order - 0015,USER - 03676
FREIGHT - 00011,25/05/2023,15:15:07,Order - 0003,
FREIGHT - 00012,25/05/2023,15:16:56,Order - 0003,
FREIGHT - 00013,25/05/2023,15:42:53,Order - 0005,
FREIGHT - 00014,25/05/2023,15:44:42,Order - 0005,
FREIGHT - 00015,25/05/2023,16:51:39,Order - 0004,
FREIGHT - 00016,25/05/2023,16:52:32,Order - 0004,
FREIGHT - 00017,31/05/2023,13:21:20,Order - 0025,USER - 03676
FREIGHT - 00018,31/05/2023,13:41:59,Order - 0026,USER - 03676
FREIGHT - 00019,02/06/2023,11:55:04,Order - 0031,USER - 03676
FREIGHT - 00020,02/06/2023,13:23:49,Order - 0032,USER - 03676
FREIGHT - 00021,05/06/2023,12:10:33,Order - 0033,USER - 03676
FREIGHT - 00022,05/06/2023,14:43:47,Order - 0018,USER - 03676
FREIGHT - 00023,06/06/2023,11:03:30,Order - 0034,USER - 03676
FREIGHT - 00024,06/06/2023,13:09:25,Order - 0035,USER - 03676
FREIGHT - 00025,07/06/2023,08:46:26,Order - 0039,USER - 03676
FREIGHT - 00026,07/06/2023,08:57:06,Order - 0040,USER - 03676
FREIGHT - 00027,09/06/2023,09:46:04,Order - 0045,USER - 03676
FREIGHT - 00028,12/06/2023,14:35:22,Order - 0015,USER - 03676
FREIGHT - 00029,12/06/2023,14:37:55,Order - 0015,USER - 03676
FREIGHT - 00030,12/06/2023,15:49:37,Order - 0047,USER - 03676
FREIGHT - 00031,13/06/2023,13:29:50,Order - 0050,USER - 03676
FREIGHT - 00032,13/06/2023,13:47:51,Order - 0051,USER - 03676
FREIGHT - 00033,13/06/2023,13:56:58,Order - 0052,USER - 03676
FREIGHT - 00034,15/06/2023,10:22:12,Order - 0053,USER - 03676
FREIGHT - 00035,15/06/2023,10:28:43,Order - 0054,USER - 03676
FREIGHT - 00036,20/06/2023,13:06:55,Order - 0059,USER - 03676
