Order ID,Goods Issue ID,Creation date,Creation time
Order - 0001,GI - 000001,10/05/2023,16:12:27
Order - 0001,GI - 000002,10/05/2023,16:12:27
Order - 0001,GI - 000003,10/05/2023,16:12:27
Order - 0002,GI - 000004,15/05/2023,16:20:56
Order - 0002,GI - 000005,15/05/2023,16:20:56
Order - 0012,GI - 000006,25/05/2023,13:47:40
Order - 0012,GI - 000007,25/05/2023,13:47:40
Order - 0012,GI - 000008,25/05/2023,13:47:40
Order - 0012,GI - 000009,25/05/2023,13:47:40
Order - 0003,GI - 000010,25/05/2023,15:18:58
Order - 0003,GI - 000011,25/05/2023,15:18:58
Order - 0003,GI - 000012,25/05/2023,15:18:58
Order - 0016,GI - 000013,25/05/2023,15:24:57
Order - 0016,GI - 000014,25/05/2023,15:24:57
Order - 0016,GI - 000015,25/05/2023,15:24:57
Order - 0005,GI - 000016,25/05/2023,15:45:41
Order - 0005,GI - 000017,25/05/2023,15:45:41
Order - 0005,GI - 000018,25/05/2023,15:45:41
Order - 0004,GI - 000019,25/05/2023,16:53:15
Order - 0004,GI - 000020,25/05/2023,16:53:15
Order - 0004,GI - 000021,25/05/2023,16:53:15
Order - 0025,GI - 000022,31/05/2023,13:23:03
Order - 0026,GI - 000023,31/05/2023,13:43:23
Order - 0015,GI - 000024,02/06/2023,10:29:35
Order - 0015,GI - 000025,02/06/2023,10:29:35
Order - 0031,GI - 000026,02/06/2023,11:57:42
Order - 0032,GI - 000027,02/06/2023,13:24:27
Order - 0033,GI - 000028,05/06/2023,12:14:39
Order - 0018,GI - 000029,06/06/2023,11:51:15
Order - 0018,GI - 000030,06/06/2023,11:51:15
Order - 0018,GI - 000031,06/06/2023,11:51:15
Order - 0035,GI - 000032,06/06/2023,13:10:04
Order - 0039,GI - 000033,07/06/2023,08:48:49
Order - 0040,GI - 000034,07/06/2023,08:57:32
Order - 0015,GI - 000035,07/06/2023,16:15:28
Order - 0015,GI - 000036,07/06/2023,16:15:28
Order - 0015,GI - 000037,07/06/2023,16:29:17
Order - 0015,GI - 000038,07/06/2023,16:29:17
Order - 0045,GI - 000039,09/06/2023,09:47:24
Order - 0047,GI - 000040,12/06/2023,15:50:29
Order - 0050,GI - 000041,13/06/2023,13:30:53
Order - 0051,GI - 000042,13/06/2023,13:48:10
Order - 0052,GI - 000043,13/06/2023,13:57:22
Order - 0034,GI - 000044,13/06/2023,14:02:50
Order - 0034,GI - 000045,13/06/2023,14:02:50
Order - 0053,GI - 000046,15/06/2023,10:22:49
Order - 0054,GI - 000047,15/06/2023,10:29:18
Order - 0059,GI - 000048,20/06/2023,13:07:36
Order - 0060,GI - 000049,20/06/2023,13:15:15
Order - 0015,GI - 000050,21/06/2023,09:55:05
Order - 0015,GI - 000051,21/06/2023,09:55:05
Order - 0015,GI - 000052,21/06/2023,09:55:05
Order - 0018,GI - 000053,21/06/2023,12:53:25
Order - 0041,GI - 000054,21/06/2023,15:23:49
Order - 0041,GI - 000055,21/06/2023,15:23:49
Order - 0061,GI - 000056,22/06/2023,13:15:02
Order - 0062,GI - 000057,22/06/2023,13:24:53
Order - 0063,GI - 000058,23/06/2023,09:40:41
Order - 0015,GI - 000059,23/06/2023,12:58:14
Order - 0015,GI - 000060,23/06/2023,12:58:14
Order - 0015,GI - 000061,23/06/2023,12:58:14
Order - 0067,GI - 000062,26/06/2023,15:39:54
Order - 0069,GI - 000063,27/06/2023,14:14:57
Order - 0041,GI - 000064,27/06/2023,16:03:34
Order - 0041,GI - 000065,27/06/2023,16:03:34
Order - 0041,GI - 000066,27/06/2023,16:03:34
Order - 0071,GI - 000067,27/06/2023,16:24:13
Order - 0072,GI - 000068,28/06/2023,13:29:59
Order - 0041,GI - 000069,28/06/2023,15:34:50
Order - 0041,GI - 000070,28/06/2023,15:34:50
Order - 0041,GI - 000071,28/06/2023,15:34:50
Order - 0041,GI - 000072,28/06/2023,15:34:50
Order - 0041,GI - 000073,28/06/2023,16:20:32
Order - 0041,GI - 000074,28/06/2023,16:20:32
Order - 0041,GI - 000075,28/06/2023,16:20:32
Order - 0041,GI - 000076,28/06/2023,16:20:32
Order - 0074,GI - 000077,29/06/2023,11:06:12
Order - 0075,GI - 000078,29/06/2023,11:09:29
Order - 0076,GI - 000079,29/06/2023,11:13:49
Order - 0081,GI - 000080,30/06/2023,12:36:25
Order - 0084,GI - 000081,03/07/2023,15:25:16
Order - 0085,GI - 000082,03/07/2023,15:29:15
Order - 0077,GI - 000083,04/07/2023,11:19:37
Order - 0086,GI - 000084,04/07/2023,12:00:32
Order - 0087,GI - 000085,04/07/2023,12:04:05
Order - 0088,GI - 000086,04/07/2023,12:34:43
Order - 0092,GI - 000087,06/07/2023,15:59:04
Order - 0041,GI - 000088,06/07/2023,16:03:05
Order - 0041,GI - 000089,06/07/2023,16:03:05
Order - 0041,GI - 000090,06/07/2023,16:03:05
Order - 0041,GI - 000091,06/07/2023,16:03:05
Order - 0093,GI - 000092,06/07/2023,16:06:27
Order - 0094,GI - 000093,07/07/2023,08:30:28
Order - 0095,GI - 000094,07/07/2023,08:40:18
Order - 0079,GI - 000095,07/07/2023,12:55:57
Order - 0098,GI - 000096,11/07/2023,09:03:33
Order - 0099,GI - 000097,11/07/2023,09:09:33
Order - 0100,GI - 000098,11/07/2023,12:54:32
Order - 0015,GI - 000099,12/07/2023,09:19:05
Order - 0015,GI - 000100,12/07/2023,09:19:05
Order - 0015,GI - 000101,12/07/2023,09:19:05
Order - 0103,GI - 000102,13/07/2023,12:04:37
Order - 0079,GI - 000103,14/07/2023,12:07:02
Order - 0079,GI - 000104,14/07/2023,12:07:02
Order - 0079,GI - 000105,14/07/2023,12:07:02
Order - 0080,GI - 000106,14/07/2023,13:09:52
Order - 0080,GI - 000107,14/07/2023,13:09:52
Order - 0080,GI - 000108,14/07/2023,13:09:52
Order - 0015,GI - 000109,14/07/2023,17:03:07
Order - 0015,GI - 000110,14/07/2023,17:03:07
Order - 0015,GI - 000111,14/07/2023,17:03:07
Order - 0015,GI - 000112,14/07/2023,17:03:07
Order - 0105,GI - 000113,18/07/2023,09:59:37
Order - 0106,GI - 000114,18/07/2023,10:03:08
Order - 0107,GI - 000115,18/07/2023,10:13:45
Order - 0116,GI - 000116,21/07/2023,11:00:19
Order - 0015,GI - 000117,21/07/2023,11:28:49
Order - 0015,GI - 000118,21/07/2023,11:28:49
Order - 0015,GI - 000119,21/07/2023,11:28:49
Order - 0015,GI - 000120,21/07/2023,11:28:49
