Order ID,Invoice Date,Invoice ID,Created by,Payment date,Payment booked by,Customer ID
Order - 0001,10/05/2023 22:11,Invoice - 001,USER - 07897,2023-09-27,USER - 07897,CUST - 001
Order - 0002,15/05/2023 22:04,Invoice - 002,USER - 07897,2023-07-14,USER - 07897,CUST - 002
Order - 0012,25/05/2023 22:00,Invoice - 003,USER - 07897,2023-06-21,USER - 07897,CUST - 005
Order - 0016,25/05/2023 22:07,Invoice - 004,USER - 07897,2023-07-24,USER - 07897,CUST - 002
Order - 0003,26/05/2023 11:40,Invoice - 005,USER - 04201,2023-09-13,USER - 04201,CUST - 003
Order - 0004,26/05/2023 11:45,Invoice - 006,USER - 04201,2023-09-13,USER - 04201,CUST - 003
Order - 0005,26/05/2023 11:47,Invoice - 007,USER - 04201,2023-09-13,USER - 04201,CUST - 003
Order - 0025,31/05/2023 13:25,Invoice - 008,USER - 04201,2023-06-29,USER - 04201,CUST - 011
Order - 0026,31/05/2023 22:02,Invoice - 009,USER - 07897,2023-06-29,USER - 04201,CUST - 011
Order - 0031,02/06/2023 22:04,Invoice - 010,USER - 07897,2023-07-31,USER - 07897,CUST - 011
Order - 0032,02/06/2023 22:04,Invoice - 011,USER - 07897,2023-07-31,USER - 04201,CUST - 011
Order - 0033,05/06/2023 22:06,Invoice - 012,USER - 07897,2023-06-15,USER - 07897,CUST - 011
Order - 0018,06/06/2023 22:00,Invoice - 013,USER - 07897,2023-07-19,USER - 07897,CUST - 005
Order - 0035,06/06/2023 22:05,Invoice - 014,USER - 07897,2023-07-05,USER - 07897,CUST - 011
Order - 0039,07/06/2023 22:04,Invoice - 015,USER - 07897,2023-07-05,USER - 07897,CUST - 011
Order - 0040,07/06/2023 22:04,Invoice - 016,USER - 07897,2023-07-12,USER - 07897,CUST - 011
Order - 0045,09/06/2023 22:07,Invoice - 017,USER - 07897,2023-07-31,USER - 07897,CUST - 011
Order - 0047,12/06/2023 22:05,Invoice - 018,USER - 07897,2023-07-31,USER - 07897,CUST - 011
Order - 0034,13/06/2023 22:00,Invoice - 019,USER - 07897,2023-07-21,USER - 07897,CUST - 007
Order - 0050,13/06/2023 22:03,Invoice - 020,USER - 07897,2023-07-12,USER - 07897,CUST - 011
Order - 0051,13/06/2023 22:03,Invoice - 021,USER - 07897,2023-07-12,USER - 07897,CUST - 011
Order - 0052,13/06/2023 22:03,Invoice - 022,USER - 07897,2023-07-12,USER - 07897,CUST - 011
Order - 0053,19/06/2023 22:07,Invoice - 023,USER - 07897,2023-07-21,USER - 07897,CUST - 011
Order - 0054,19/06/2023 22:07,Invoice - 024,USER - 07897,2023-07-21,USER - 07897,CUST - 011
Order - 0059,20/06/2023 22:08,Invoice - 025,USER - 07897,2023-07-21,USER - 07897,CUST - 011
Order - 0060,20/06/2023 22:08,Invoice - 026,USER - 07897,2023-07-19,USER - 07897,CUST - 011
Order - 0018,21/06/2023 22:00,Invoice - 027,USER - 07897,2023-07-19,USER - 07897,CUST - 005
Order - 0041,21/06/2023 22:00,Invoice - 028,USER - 07897,2023-08-16,USER - 07897,CUST - 005
Order - 0061,22/06/2023 22:09,Invoice - 029,USER - 07897,2023-07-26,USER - 07897,CUST - 011
Order - 0062,22/06/2023 22:09,Invoice - 030,USER - 07897,2023-07-26,USER - 07897,CUST - 011
Order - 0063,23/06/2023 22:10,Invoice - 031,USER - 07897,2023-07-31,USER - 07897,CUST - 011
Order - 0067,26/06/2023 22:05,Invoice - 032,USER - 07897,2023-07-26,USER - 07897,CUST - 011
