Order ID,Creation Date,Creation Time,Customer ID,Order Value,Currency,Order Type,User,Requested Delivery Date,Delivery Block,Billing Block,Company Code
Order - 0001,09/05/2023,16:26:58,CUST - 001,718.2,EUR,SO,USER - 05682,11/05/2023,,X,Company 1
Order - 0002,15/05/2023,10:09:49,CUST - 002,2472.6,EUR,SO,USER - 05682,16/05/2023,,,Company 1
Order - 0003,15/05/2023,15:25:17,CUST - 003,4780.8,EUR,SO,USER - 05682,26/05/2023,,,Company 1
Order - 0004,15/05/2023,15:29:36,CUST - 003,34547.7,EUR,SO,USER - 05682,26/05/2023,,,Company 1
Order - 0005,15/05/2023,15:31:15,CUST - 003,12089.22,EUR,SO,USER - 05682,26/05/2023,,,Company 1
Order - 0007,16/05/2023,14:34:02,CUST - 004,34964.5,EUR,ST,USER - 10897,16/05/2023,,,Company 1
Order - 0008,16/05/2023,15:38:05,CUST - 004,37899.6,EUR,ST,USER - 10897,16/05/2023,,,Company 1
Order - 0009,16/05/2023,15:41:13,CUST - 004,38815.58,EUR,ST,USER - 10897,17/05/2023,,,Company 1
Order - 0010,16/05/2023,16:09:50,CUST - 004,34342.76,EUR,ST,USER - 10897,17/05/2023,,,Company 1
Order - 0011,17/05/2023,15:36:45,CUST - 004,37976.69,EUR,ST,USER - 10897,18/05/2023,,,Company 1
Order - 0012,17/05/2023,16:12:14,CUST - 005,73694.9,EUR,SO,USER - 05682,17/02/2024,X,X,Company 1
Order - 0013,23/05/2023,13:04:18,CUST - 004,33289.27,EUR,ST,USER - 10897,23/05/2023,,,Company 1
Order - 0014,23/05/2023,15:39:14,CUST - 006,9908.4,PLN,ST,USER - 10897,24/05/2023,,,Company 1
Order - 0015,25/05/2023,12:05:06,CUST - 001,23940,EUR,SO,USER - 04201,31/08/2023,,,Company 1
Order - 0016,25/05/2023,12:32:27,CUST - 002,32473.48,EUR,SO,USER - 04201,27/07/2023,,,Company 1
Order - 0017,26/05/2023,17:00:32,CUST - 004,37289.33,EUR,ST,USER - 10897,27/05/2023,,,Company 1
Order - 0018,30/05/2023,14:09:07,CUST - 005,10883.35,EUR,SO,USER - 05682,22/06/2023,,,Company 1
Order - 0019,30/05/2023,14:33:10,CUST - 008,6,PLN,ST,USER - 04201,30/05/2023,,,Company 1
Order - 0020,30/05/2023,14:29:58,CUST - 007,1407.5,EUR,ST,USER - 10897,30/05/2023,,,Company 1
Order - 0021,30/05/2023,14:43:02,CUST - 009,500,PLN,ST,USER - 10897,30/05/2023,,,Company 1
Order - 0022,30/05/2023,15:13:28,CUST - 006,7364.8,PLN,ST,USER - 10897,30/05/2023,,,Company 1
