User Name,User ID,Department,User Type
User Name 1,USER - 00001,Department 2070,Manual
User Name 2,USER - 00002,Department 2371,Manual
User Name 3,USER - 00003,Department 2370,Manual
User Name 4,USER - 00004,Department 2402,Manual
User Name 5,USER - 00005,Department 2370,Manual
User Name 6,USER - 00006,Department 3520,Manual
User Name 7,USER - 00007,Department 2070,Manual
User Name 8,USER - 00008,Department 2070,Manual
User Name 9,USER - 00009,Department 2070,Manual
User Name 10,USER - 00010,Department 2266,Manual
User Name 11,USER - 00011,Department 2373,Manual
User Name 12,USER - 00012,Department 1754,Manual
User Name 13,USER - 00013,Department 2070,Manual
User Name 14,USER - 00014,Department 1754,Manual
User Name 15,USER - 00015,Department 2078,Manual
User Name 16,USER - 00016,Department 1748,Manual
User Name 17,USER - 00017,Department 2070,Manual
User Name 18,USER - 00018,Department 1754,Manual
User Name 19,USER - 00019,Department 2193,Manual
User Name 20,USER - 00020,Department 2733,Manual
User Name 21,USER - 00021,Department 2402,Manual
User Name 22,USER - 00022,Department 2402,Manual
User Name 23,USER - 00023,Department 2070,Manual
User Name 24,USER - 00024,Department 2202,Manual
User Name 25,USER - 00025,Department 1669,Manual
User Name 26,USER - 00026,Department 1748,Manual
User Name 27,USER - 00027,Department 1887,Manual
User Name 28,USER - 00028,Department 2175,Manual
User Name 29,USER - 00029,Department 2198,Manual
User Name 30,USER - 00030,Department 2237,Manual
User Name 31,USER - 00031,Department 2070,Manual
User Name 32,USER - 00032,Department 2070,Manual
User Name 33,USER - 00033,Department 2240,Manual
User Name 34,USER - 00034,Department 2202,Manual
User Name 35,USER - 00035,Department 2204,Manual
User Name 36,USER - 00036,Department 2184,Manual
User Name 37,USER - 00037,Department 1941,Manual
User Name 38,USER - 00038,Department 2070,Manual
User Name 39,USER - 00039,Department 2204,Manual
User Name 40,USER - 00040,Department 2237,Manual
User Name 41,USER - 00041,Department 2191,Manual
User Name 42,USER - 00042,Department 2196,Manual
User Name 43,USER - 00043,Department 2212,Manual
User Name 44,USER - 00044,Department 2196,Manual
User Name 45,USER - 00045,Department 2173,Manual
User Name 46,USER - 00046,Department 2271,Manual
User Name 47,USER - 00047,Department 2087,Manual
User Name 48,USER - 00048,Department 2196,Manual
User Name 49,USER - 00049,Department 2203,Manual
User Name 50,USER - 00050,Department 2216,Manual
User Name 51,USER - 00051,Department 2200,Manual
User Name 52,USER - 00052,Department 2070,Manual
User Name 53,USER - 00053,Department 2162,Manual
User Name 54,USER - 00054,Department 2168,Manual
User Name 55,USER - 00055,Department 1868,Manual
User Name 56,USER - 00056,Department 2200,Manual
User Name 57,USER - 00057,Department 2237,Manual
User Name 58,USER - 00058,Department 2168,Manual
User Name 59,USER - 00059,Department 2203,Manual
User Name 60,USER - 00060,Department 2160,Manual
User Name 61,USER - 00061,Department 2203,Manual
User Name 62,USER - 00062,Department 2195,Manual
User Name 63,USER - 00063,Department 2070,Manual
User Name 64,USER - 00064,Department 2205,Manual
User Name 65,USER - 00065,Department 2202,Manual
User Name 66,USER - 00066,Department 2205,Manual
User Name 67,USER - 00067,Department 2204,Manual
User Name 68,USER - 00068,Department 1760,Manual
User Name 69,USER - 00069,Department 981,Manual
User Name 70,USER - 00070,Department 2183,Manual
User Name 71,USER - 00071,Department 1594,Manual
User Name 72,USER - 00072,Department 2211,Manual
User Name 73,USER - 00073,Department 2210,Manual
User Name 74,USER - 00074,Department 2218,Manual
User Name 75,USER - 00075,Department 1938,Manual
User Name 76,USER - 00076,Department 2110,Manual
User Name 77,USER - 00077,Department 1886,Manual
User Name 78,USER - 00078,Department 2210,Manual
User Name 79,USER - 00079,Department 2181,Manual
