Case_ID,Customer_ID,Customer_Name,Customer_Country,Customer_Type,Order_Value,Currency,Order_Type,Company_Code,Delivery_Block,Billing_Block,Event_Type,Event_Time,User,Department,User_Type,Object_ID,Object_Type,Event_Category
Order - 0523,CUST - 014,Customer 14,DE,External,117784.08,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-12-19 14:33:39.000,USER - 10897,Department 2178,Manual,Order - 0523,Sales order,Main
Order - 0524,CUST - 014,Customer 14,DE,External,14989.68,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-12-19 14:37:04.000,USER - 10897,Department 2178,Manual,Order - 0524,Sales order,Main
Order - 0155,CUST - 014,Customer 14,DE,External,-890.64,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-08-16 15:42:28.000,USER - 10897,Department 2178,Manual,Order - 0155,Sales order,Main
Order - 0156,CUST - 014,Customer 14,DE,External,-5250.96,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-08-16 15:50:20.000,USER - 10897,Department 2178,Manual,Order - 0156,Sales order,Main
Order - 0157,CUST - 014,Customer 14,DE,External,-10361.28,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-08-16 15:55:14.000,USER - 10897,Department 2178,Manual,Order - 0157,Sales order,Main
Order - 0158,CUST - 014,Customer 14,DE,External,-19299.12,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-08-16 15:59:05.000,USER - 10897,Department 2178,Manual,Order - 0158,Sales order,Main
Order - 0159,CUST - 014,Customer 14,DE,External,-39851.28,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-08-16 16:07:02.000,USER - 10897,Department 2178,Manual,Order - 0159,Sales order,Main
Order - 0152,CUST - 019,Customer 19,AT,External,20.4,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-08-16 14:29:54.000,USER - 10897,Department 2178,Manual,Order - 0152,Sales order,Main
Order - 1391,CUST - 019,Customer 19,AT,External,51.6,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2024-07-10 15:14:34.000,USER - 10897,Department 2178,Manual,Order - 1391,Sales order,Main
Order - 1367,CUST - 026,Customer 26,DE,External,45938.02,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2024-07-05 15:43:57.000,USER - 10897,Department 2178,Manual,Order - 1367,Sales order,Main
Order - 1645,CUST - 026,Customer 26,DE,External,37314.35,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2024-09-18 21:32:30.000,USER - 10897,Department 2178,Manual,Order - 1645,Sales order,Main
Order - 0048,CUST - 010,Customer 10,DE,External,120018.99,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-06-13 07:44:42.000,USER - 10897,Department 2178,Manual,Order - 0048,Sales order,Main
Order - 0049,CUST - 010,Customer 10,DE,External,8796.06,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-06-13 08:22:53.000,USER - 10897,Department 2178,Manual,Order - 0049,Sales order,Main
Order - 0545,CUST - 010,Customer 10,DE,External,65.95,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-12-20 08:10:17.000,USER - 10897,Department 2178,Manual,Order - 0545,Sales order,Main
Order - 0557,CUST - 010,Customer 10,DE,External,451348.39,EUR,ST - Services / Tooling,Company 1,NULL,NULL,Create Sales Order,2023-12-20 13:36:09.000,USER - 10897,Department 2178,Manual,Order - 0557,Sales order,Main
